term document_frequency
itt 19
corp 1606
met 231
financi 1356
advis 220
thursdai 1188
assess 101
unsolicit 24
$6.5 23
billion 2175
bid 713
hilton 22
hotel 121
wall 428
street 534
analyst 2389
company' 820
best 436
defens 73
pursu 173
acquisit 624
industri 1982
expert 258
stave 8
takeov 419
larg 635
casino 41
purchas 386
compani 3006
lot 645
friend 90
invest 1272
banker 160
player 333
game 194
trade 1705
higher 856
qualiti 299
thoma 96
ryan 16
trust 180
expect 2682
reject 276
offer 1255
sourc 818
close 1420
decis 741
talk 942
held 640
itt' 12
board 556
will 3744
consid 735
regularly-schedul 2
meet 1108
tuesdai 1322
declin 1156
comment 876
mondai 1205
bui 1037
stock 1579
cash 655
transact 299
valu 302
$55 20
share 2225
includ 1809
assumpt 46
$4 64
debt 456
york-bas 52
soar 215
week 1666
view 564
forc 860
rais 893
fell 664
75 193
cent 589
$56.875 5
fridai 1081
pore 6
hilton' 8
offici 1515
document 163
file 232
secur 1116
exchang 966
commiss 543
keep 168
histori 217
chairman 1266
rand 12
araskog 10
buyer 267
he' 66
gerri 22
shapiro 8
manag 1401
director 982
kpmg 15
peat 8
marwick 8
sizabl 11
thwart 30
plan 2065
make 592
price 1699
costli 89
telephon 623
confer 615
call 1315
report 1968
earlier 1051
chief 1540
execut 1654
offic 1021
stephen 126
bollenbach 11
vow 139
beverli 5
hill 93
calif.-bas 61
earn 963
specul 452
attract 411
candid 187
harrah' 2
entertain 129
long 847
ripe 37
particip 211
consolid 300
spokesman 801
solidifi 10
araskog' 3
role 373
1979 42
conglomer 169
gambl 45
portion 80
split 182
three 1633
piec 97
1995 1119
job 536
forum 68
capit 897
market 2919
philip 113
platek 2
lodg 24
norfolk 39
southern 252
launch 664
effort 450
derail 17
$9.1 15
merger 557
conrail 37
csx 38
propos 631
stake 646
time 1849
direct 408
appeal 203
sharehold 803
unhappi 46
conrail-csx 25
va.-bas 51
railroad 36
9.9 20
percent 2947
$115 15
investor 930
defeat 92
kei 852
provis 200
allow 1043
union 434
move 1354
forward 332
schedul 403
vote 336
measur 357
special 438
philadelphia 22
philadelphia-bas 22
southern' 28
$10.3 12
strateg 294
benefit 552
waiv 25
pennsylvania 35
law 635
effect 379
requir 549
own 628
19.9 18
pai 805
$110 25
rest 338
richmond 34
20 831
acquir 382
ask 594
amend 81
exist 534
all-cash 18
order 599
8.2 19
repres 550
