C50/C50train/AlexanderSmith/223300newsML.txt 
term tf-idf document_term_frequency
itt 0.0 0
corp 0.0 0
met 0.0 0
financi 0.0 0
advis 0.0 0
thursdai 3.6694795235023396 1
assess 0.0 0
unsolicit 0.0 0
$6.5 0.0 0
billion 0.0 0
bid 0.0 0
hilton 0.0 0
hotel 0.0 0
wall 0.0 0
street 0.0 0
analyst 0.0 0
company' 0.0 0
best 0.0 0
defens 0.0 0
pursu 0.0 0
acquisit 0.0 0
industri 0.0 0
expert 0.0 0
stave 0.0 0
takeov 0.0 0
larg 0.0 0
casino 0.0 0
purchas 0.0 0
compani 8.22342135933603 3
lot 0.0 0
friend 0.0 0
invest 25.208121956674038 7
banker 0.0 0
player 0.0 0
game 0.0 0
trade 0.0 0
higher 0.0 0
qualiti 0.0 0
thoma 0.0 0
ryan 0.0 0
trust 0.0 0
expect 0.0 0
reject 0.0 0
offer 0.0 0
sourc 0.0 0
close 0.0 0
decis 4.141505398128843 1
talk 0.0 0
held 8.576075694142425 2
itt' 0.0 0
board 0.0 0
will 0.0 0
consid 0.0 0
regularly-schedul 0.0 0
meet 0.0 0
tuesdai 0.0 0
declin 0.0 0
comment 0.0 0
mondai 0.0 0
bui 0.0 0
stock 0.0 0
cash 0.0 0
transact 0.0 0
valu 0.0 0
$55 0.0 0
share 6.083987657649178 2
includ 0.0 0
assumpt 0.0 0
$4 0.0 0
debt 0.0 0
york-bas 0.0 0
soar 0.0 0
week 0.0 0
view 0.0 0
forc 0.0 0
rais 0.0 0
fell 0.0 0
75 0.0 0
cent 0.0 0
$56.875 0.0 0
fridai 0.0 0
pore 0.0 0
hilton' 0.0 0
offici 0.0 0
document 0.0 0
file 0.0 0
secur 0.0 0
exchang 0.0 0
commiss 0.0 0
keep 0.0 0
histori 0.0 0
chairman 0.0 0
rand 0.0 0
araskog 0.0 0
buyer 0.0 0
he' 0.0 0
gerri 0.0 0
shapiro 0.0 0
manag 3.5045644770879227 1
director 0.0 0
kpmg 0.0 0
peat 0.0 0
marwick 0.0 0
sizabl 0.0 0
thwart 0.0 0
plan 6.233241036059593 2
make 0.0 0
price 3.3117109017529978 1
costli 0.0 0
telephon 0.0 0
confer 0.0 0
call 0.0 0
report 3.164732945812731 1
earlier 0.0 0
chief 3.409968328017255 1
execut 3.3385541478412932 1
offic 15.283872821041056 4
stephen 0.0 0
bollenbach 0.0 0
vow 0.0 0
beverli 0.0 0
hill 0.0 0
calif.-bas 0.0 0
earn 0.0 0
specul 0.0 0
attract 4.730912808928695 1
candid 0.0 0
harrah' 0.0 0
entertain 0.0 0
long 0.0 0
ripe 0.0 0
particip 0.0 0
consolid 0.0 0
spokesman 0.0 0
solidifi 0.0 0
araskog' 0.0 0
role 0.0 0
1979 0.0 0
conglomer 0.0 0
gambl 0.0 0
portion 0.0 0
split 0.0 0
three 3.3513319304544646 1
piec 0.0 0
1995 0.0 0
job 0.0 0
forum 0.0 0
capit 7.900900322732268 2
market 2.770509652570815 1
philip 0.0 0
platek 0.0 0
lodg 0.0 0
norfolk 0.0 0
southern 0.0 0
launch 0.0 0
effort 0.0 0
derail 0.0 0
$9.1 0.0 0
merger 0.0 0
conrail 0.0 0
csx 0.0 0
propos 0.0 0
stake 0.0 0
time 0.0 0
direct 0.0 0
appeal 0.0 0
sharehold 0.0 0
unhappi 0.0 0
conrail-csx 0.0 0
va.-bas 0.0 0
railroad 0.0 0
9.9 0.0 0
percent 2.760963040687235 1
$115 0.0 0
investor 0.0 0
defeat 0.0 0
kei 0.0 0
provis 0.0 0
allow 0.0 0
union 0.0 0
move 0.0 0
forward 0.0 0
schedul 0.0 0
vote 0.0 0
measur 0.0 0
special 0.0 0
philadelphia 0.0 0
philadelphia-bas 0.0 0
southern' 0.0 0
$10.3 0.0 0
strateg 0.0 0
benefit 0.0 0
waiv 0.0 0
pennsylvania 0.0 0
law 0.0 0
effect 0.0 0
requir 0.0 0
own 0.0 0
19.9 0.0 0
pai 0.0 0
$110 0.0 0
rest 0.0 0
richmond 0.0 0
20 0.0 0
acquir 0.0 0
ask 0.0 0
amend 0.0 0
exist 0.0 0
all-cash 0.0 0
order 0.0 0
8.2 0.0 0
repres 0.0 0
maximum 0.0 0
number 3.8387552354629944 1
trigger 0.0 0
conrail' 0.0 0
poison 0.0 0
pill 0.0 0
anti-takeov 0.0 0
complet 0.0 0
second 0.0 0
remain 7.3660781065759435 2
subject 0.0 0
termin 0.0 0
agreement 0.0 0
action 0.0 0
opportun 17.998123124661788 4
reassert 0.0 0
control 0.0 0
corpor 4.365999388540924 1
coerciv 0.0 0
tactic 0.0 0
pressur 0.0 0
approv 0.0 0
csx' 0.0 0
inferior 0.0 0
david 0.0 0
good 11.06966518540064 3
statement 0.0 0
joint 0.0 0
affect 0.0 0
today' 0.0 0
announc 0.0 0
chang 0.0 0
fact 0.0 0
csx-conrail 0.0 0
receiv 0.0 0
100 0.0 0
swai 0.0 0
pretti 5.36960866988447 1
savvi 0.0 0
thing 0.0 0
they'r 0.0 0
put 0.0 0
monei 0.0 0
tabl 0.0 0
swing 0.0 0
momentum 0.0 0
bit 5.16225736502468 1
anthoni 0.0 0
hatch 0.0 0
natwest 0.0 0
york 0.0 0
rose 8.32666873714051 2
50 0.0 0
$89 0.0 0
$1 0.0 0
$101.50 0.0 0
gain 0.0 0
37.5 0.0 0
$44.375 0.0 0
nyse 0.0 0
independ 0.0 0
advisori 0.0 0
firm 3.647830051805486 1
urg 0.0 0
railroad' 0.0 0
maryland-bas 0.0 0
institut 0.0 0
servic 0.0 0
iss 0.0 0
renegoti 0.0 0
pact 0.0 0
month 0.0 0
critic 0.0 0
dec 0.0 0
23 0.0 0
delai 0.0 0
controversi 0.0 0
exclus 0.0 0
prohibit 0.0 0
parti 0.0 0
suitor 0.0 0
1999 0.0 0
u. 0.0 0
district 0.0 0
court 0.0 0
judg 0.0 0
upheld 0.0 0
challeng 0.0 0
waiver 0.0 0
door 0.0 0
open 11.698139571838286 3
woo 0.0 0
oppos 0.0 0
newspap 0.0 0
advertis 0.0 0
bought 0.0 0
 5.539649442074378 2
read 0.0 0
ad 0.0 0
high 0.0 0
paid 0.0 0
attack 0.0 0
settl 0.0 0
lower 0.0 0
assum 0.0 0
equiti 0.0 0
risk 0.0 0
long-troubl 0.0 0
solid 0.0 0
wast 0.0 0
mid-american 0.0 0
system 0.0 0
wednesdai 0.0 0
bankruptci 0.0 0
sign 0.0 0
sell 3.8867481103735284 1
asset 4.305374766724489 1
fast-grow 0.0 0
usa 0.0 0
canal 0.0 0
winchest 0.0 0
ohio-bas 0.0 0
suffer 0.0 0
string 0.0 0
loss 0.0 0
stem 0.0 0
huge 0.0 0
appetit 0.0 0
develop 0.0 0
project 0.0 0
peopl 0.0 0
familiar 0.0 0
highli 0.0 0
leverag 0.0 0
situat 0.0 0
lose 0.0 0
melvil 0.0 0
codi 0.0 0
william 0.0 0
mackai 0.0 0
jordan 0.0 0
&amp; 0.0 0
houston-bas 0.0 0
$180 0.0 0
chapter 0.0 0
11 0.0 0
mid-american' 0.0 0
proce 0.0 0
sale 3.4854758805254002 1
combin 0.0 0
retain 0.0 0
total 0.0 0
$227 0.0 0
compar 0.0 0
$323 0.0 0
long-term 0.0 0
gene 0.0 0
meredith 0.0 0
staff 0.0 0
unavail 0.0 0
interrupt 0.0 0
collect 0.0 0
process 0.0 0
cut 0.0 0
cost 0.0 0
continu 3.4660577946682984 1
unabl 0.0 0
flow 0.0 0
sold 0.0 0
atlanta 0.0 0
year 4.970800519391949 2
ago 0.0 0
republ 0.0 0
diversifi 0.0 0
florida 0.0 0
led 0.0 0
billionair 0.0 0
wayn 0.0 0
huizenga 0.0 0
amid 0.0 0
intens 0.0 0
fragment 0.0 0
mark 0.0 0
latest 4.577805426014015 1
annual 0.0 0
revenu 8.149889263221008 2
1990 0.0 0
estim 0.0 0
$2 0.0 0
clearli 0.0 0
maintain 0.0 0
junctur 0.0 0
michael 0.0 0
hoffman 0.0 0
